det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61300 
         Vertex_2_17  |                root  |                   Vertex_2_17  |      3.88382995257565*cm -3.2589515030875*cm 5*cm  |       0*deg 0*rad -223.009167595098*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50217 
         Vertex_2_18  |                root  |                   Vertex_2_18  |      4.76423289572245*cm -1.7340660066203*cm 5*cm  |       0*deg 0*rad -243.009740569791*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50218 
          Vertex_3_1  |                root  |                    Vertex_3_1  |                                 7.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50301 
          Vertex_3_2  |                root  |                    Vertex_3_2  |       6.12280116816204*cm 3.5349972920999*cm 5*cm  |        0*deg 0*rad 66.9991405379596*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50302 
          Vertex_3_3  |                root  |                    Vertex_3_3  |      3.53500541579813*cm 6.12279647794028*cm 5*cm  |        0*deg 0*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50303 
          Vertex_3_4  |                root  |                    Vertex_3_4  |  9.38043991951016e-06*cm 7.06999999999378*cm 5*cm  |        0*deg 0*rad 6.99742161387873*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50304 
          Vertex_3_5  |                root  |                    Vertex_3_5  |     -3.53498916839544*cm 6.12280585837301*cm 5*cm  |       0*deg 0*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50305 
          Vertex_3_6  |                root  |                    Vertex_3_6  |     -6.12279178770775*cm 3.53501353949014*cm 5*cm  |       0*deg 0*rad -53.0042973102021*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50306 
          Vertex_3_7  |                root  |                    Vertex_3_7  | -7.06999999997511*cm 1.87608798390038e-05*cm 5*cm  |       0*deg 0*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50307 
          Vertex_3_8  |                root  |                    Vertex_3_8  |    -6.12281054857321*cm -3.53498104468476*cm 5*cm  |       0*deg 0*rad -113.006016234283*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50308 
