    4     1     1 0.000000 0.000000    11 10.000000     0     0 2.390350e+00
    7 0.000000      1    11     4    -1 -4.302711e-01 -1.276147e-01 -3.273884e-01 5.555198e-01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.632751e-01
    3 0.000000      1    11     0    -1 -7.284703e+00 1.318169e+00 -7.365738e+00 1.044311e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -2.918377e-01 5.770025e-01 8.232233e+01 8.233022e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 1.980122e-01 5.846643e-01 1.075032e+00 1.239651e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 7.378528e+00 -2.479836e+00 1.396397e+01 1.598702e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.523191e-01
    3 0.000000      1    11     0    -1 -7.172103e-01 1.225385e+00 -9.694596e+00 9.798018e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -5.050271e-01 -1.189972e-01 8.776161e+01 8.776816e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 -8.444956e-01 3.769872e-01 2.416430e+00 2.587359e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 2.066733e+00 -1.483375e+00 9.512153e+00 9.846463e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.480595e-01
    3 0.000000      1    11     0    -1 -2.205908e+00 -3.605771e-01 -9.364378e+00 9.627441e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 3.050720e-01 -2.103201e-01 9.314637e+01 9.315183e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 5.210503e-01 1.438984e+00 1.188153e+00 1.937492e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 1.379785e+00 -8.680869e-01 5.025453e+00 5.283234e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.625812e-01
    3 0.000000      1    11     0    -1 6.360512e-01 -1.474279e-04 -2.926885e+00 2.995199e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 2.121887e-01 7.659182e-01 9.957274e+01 9.958033e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 8.501147e-02 1.156516e+00 -2.156202e+00 2.448257e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 -9.332514e-01 -1.922286e+00 -4.494055e+00 4.976210e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.644091e-01
    3 0.000000      1    11     0    -1 3.617987e-01 7.531525e-01 -6.408608e+00 6.462847e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -4.653756e-01 2.942022e-01 9.921713e+01 9.922309e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 1.303272e+00 3.574005e-01 -1.643276e+00 2.127583e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 -1.199695e+00 -1.404755e+00 -1.169648e+00 2.186477e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.248549e-01
    3 0.000000      1    11     0    -1 1.106427e-01 -1.503172e+00 -7.739622e+00 7.885018e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 3.473988e-01 1.748739e-02 9.855012e+01 9.855520e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 -3.068199e-01 1.428728e+00 -1.936841e+00 2.426264e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 -1.512216e-01 5.695699e-02 1.121937e+00 1.133514e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.114398e-01
    3 0.000000      1    11     0    -1 4.881989e-01 -9.591019e+00 -6.331516e+00 1.150279e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -2.031339e-03 -2.540835e-02 7.377313e+01 7.377910e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 -6.261466e-01 1.790768e+00 7.676069e+00 7.907019e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 1.399790e-01 7.825660e+00 1.487792e+01 1.681109e+01 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.102682e-01
    3 0.000000      1    11     0    -1 -6.639239e-01 9.849260e-01 -7.805199e+00 7.895062e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 2.126430e-01 1.197981e-01 9.866949e+01 9.867425e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
    6 0.000000      1   -11     4    -1 2.057101e-01 9.286026e-01 -9.978375e-01 1.378513e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    7 0.000000      1    11     4    -1 2.455708e-01 -2.033327e+00 1.291436e-01 2.052170e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    4     1     1 0.000000 0.000000    11 10.000000     0     0 3.267937e-01
    3 0.000000      1    11     0    -1 -1.763699e+00 6.309598e-01 -6.827034e+00 7.079346e+00 5.109989e-04 0.000000e+00 0.000000e+00 0.000000e+00
    5 0.000000      1  2212     2    -1 -1.248619e-01 -2.420824e-01 9.877712e+01 9.878196e+01 9.382720e-01 0.000000e+00 0.000000e+00 0.000000e+00
